Города;Tableau;Country
Москва;Moscow;Russia
Санкт-Петербург;Saint Petersburg;Russia
Казань;Kazan;Russia
Воронеж;Voronezh;Russia
Майкоп;Maykop;Russia
Киев;Kiev;Ukraine
Екатеринбург;Yekaterinburg;Russia
Калининград;Kaliningrad;Russia
Уфа;Ufa;Russia
Петрозаводск;Petrozavodsk;Russia
Владивосток;Vladivostok;Russia
Тюмень;Tyumen;Russia
Баку;Baku;Azerbaijan
Ростов-на-Дону;Rostov-on-don;Russia
Харьков;Kharkov;Ukraine
Алма-Ата;Almaty;Kazakhstan
Таллин;Tallinn;Estonia 
Кемерово;Kemerovo;Russia
Архангельск;Arkhangelsk;Russia
Саратов;Saratov;Russia
Махачкала;Makhachkala;Russia
Омск;Omsk;Russia
Ярославль;Yaroslavl;Russia
Свердловск;Yekaterinburg;Russia
